source,title,link,published,relevant,reason,summary
TechCrunch AI,Meta opens early access program for new Muse features,https://techcrunch.com/2026/09/25/meta-opens-early-access-program-for-new-muse-features/,"Fri, 25 Sep 2026 20:34:53 +0000",False,No relevant keywords,Anyone interested in joining has to ask Muse to put them on the list.
TechCrunch AI,Anthropic to pay Akamai $11.6 billion over seven years in cloud deal,https://techcrunch.com/2026/09/25/anthropic-to-pay-akamai-11-6-billion-over-seven-years-in-cloud-deal/,"Fri, 25 Sep 2026 19:13:38 +0000",False,No relevant keywords,"Anthropic has committed $11.6 billion over seven years to Akamai's cloud infrastructure, a bet on CPUs that could grow to about $20 billion, and in an unusual arrangement, Akamai is giving Anthropic a potential stake of up to 5% of its stock that grows as Anthropic spends more."
TechCrunch AI,"Mark Wahlberg is coming to TechCrunch Disrupt 2026, and he wants to talk about your work, not his",https://techcrunch.com/2026/09/25/mark-wahlberg-is-coming-to-techcrunch-disrupt-2026/,"Fri, 25 Sep 2026 18:48:33 +0000",False,No relevant keywords,"Mark Wahlberg joins Bruce K. Lee at Disrupt to discuss investing, entrepreneurship, healthcare, wellness, and building businesses."
TechCrunch AI,"Ahead of US IPO, British AI neocloud Nscale secures $3.36B in convertible financing",https://techcrunch.com/2026/09/25/ahead-of-u-s-ipo-british-ai-neocloud-nscale-secures-3-36b-in-convertible-finacing/,"Fri, 25 Sep 2026 18:33:59 +0000",True,Infrastructure mention,"The funding, which comes from Third Point, Nvidia, and others, will fuel the company's massive AI data center buildout."
TechCrunch AI,Meta’s Muse just stole the AI spotlight from OpenAI and Anthropic,https://techcrunch.com/podcast/metas-muse-just-stole-the-ai-spotlight-from-openai-and-anthropic/,"Fri, 25 Sep 2026 18:22:47 +0000",False,No relevant keywords,"When AI leaders at OpenAI and Anthropic started talking about “pacing the frontier,”&#160;maybe someone&#160;should have asked: what pace?&#160;Now&#160;it’s&#160;turned into model drop week for both companies as&#160;Anthropic rolled out Opus 5.5, followed by&#160;OpenAI’s GPT-6 model updates&#160;just&#160;90 minutes&#160;later.&#160;But the comp"
TechCrunch AI,Some Supabase customers are publicly exposing reams of people’s data to the web,https://techcrunch.com/2026/09/25/some-supabase-customers-are-publicly-exposing-reams-of-peoples-data-to-the-web/,"Fri, 25 Sep 2026 17:29:46 +0000",False,No relevant keywords,The findings highlight how AI-generated and vibe-coded apps can spill and expose users' data when not configured or secured properly.
TechCrunch AI,Astra and Opus just passed Turing’s other test,https://techcrunch.com/2026/09/25/astra-and-opus-just-passed-turings-other-test/,"Fri, 25 Sep 2026 17:24:36 +0000",False,No relevant keywords,Frontier AI models are finishing Alan Turing's World War II codebreaking work.
TechCrunch AI,Meta is putting its muscle behind Muse as the AI app takes off,https://techcrunch.com/2026/09/25/meta-is-putting-its-muscle-behind-muse-as-the-ai-app-takes-off/,"Fri, 25 Sep 2026 16:16:52 +0000",False,No relevant keywords,"Muse is topping the app store charts and adding users at a rapid clip, while Meta ramps up the personal AI agent's promotion across its own apps and beyond."
TechCrunch AI,Meta’s AI Tamagotchi bet is…working?,https://techcrunch.com/video/will-metas-ai-tamagotchi-bet-isworking/,"Fri, 25 Sep 2026 16:00:00 +0000",False,No relevant keywords,"When AI leaders at OpenAI and Anthropic started talking about “pacing the frontier,”&#160;maybe someone&#160;should have asked: what pace?&#160;Now&#160;it’s&#160;turned into model drop week for both companies as&#160;Anthropic rolled out Opus 5.5, followed by&#160;OpenAI’s GPT-6 model updates&#160;just&#160;90 minutes&#160;later.&#160;But the comp"
TechCrunch AI,"For months, OpenAI’s agent swarms have been attacking online databases to find obscure facts",https://techcrunch.com/2026/09/25/for-months-openais-agent-swarms-have-been-attacking-online-databases-to-find-obscure-facts/,"Fri, 25 Sep 2026 15:48:14 +0000",False,No relevant keywords,The latest unauthorized agent swarms were discovered by researchers.
