source,title,link,published,relevant,reason,summary
TechCrunch AI,6 days left to save up to $200 to TechCrunch Disrupt 2026,https://techcrunch.com/2026/09/20/6-days-left-to-get-ahead-at-techcrunch-disrupt-2026/,"Sun, 20 Sep 2026 21:41:08 +0000",False,No relevant keywords,"Current ticket pricing ends in 6 days on Sept. 25 at 11:59 p.m. PT. Join 10,000+ founders, investors and tech leaders at Disrupt and save up to $200 on your ticket until then."
TechCrunch AI,World model companies are keeping a lot of secrets,https://techcrunch.com/2026/09/20/world-model-companies-are-keeping-a-lot-of-secrets/,"Sun, 20 Sep 2026 20:29:07 +0000",False,No relevant keywords,"Everyone in the world-models space is sitting on a pile of cash and a ton of buzz, but good luck getting anyone — from the founders to their own data suppliers — to tell you what they're actually building."
TechCrunch AI,Is the AI industry really ready to slow down?,https://techcrunch.com/2026/09/20/is-the-ai-industry-really-ready-to-slow-down/,"Sun, 20 Sep 2026 18:56:04 +0000",False,No relevant keywords,"On Equity, we debated whether Ai executives are serious about wanting to slow down."
TechCrunch AI,Vocci’s ring adds a new form factor to meeting note-taking,https://techcrunch.com/2026/09/20/voccis-ring-adds-a-new-form-factor-to-meeting-note-taking/,"Sun, 20 Sep 2026 18:32:52 +0000",False,No relevant keywords,"Vocci's lightweight ring costs $249, and might pose some privacy questions"
TechCrunch AI,ScrollEd wants to turn textbooks into TikTok,https://techcrunch.com/2026/09/20/scrolled-wants-to-turn-textbooks-into-tiktok/,"Sun, 20 Sep 2026 18:00:00 +0000",False,No relevant keywords,"ScrollEd turns textbooks into a scrollable, Instagram-like feed with video, audio, and quizzes. The Palo Alto startup, founded by student co-founders (and spouses) Utsav Gupta and Rebecca Neff, pitches at TechCrunch Disrupt."
TechCrunch AI,Flock reportedly tries to shrink workforce with employee buyouts,https://techcrunch.com/2026/09/19/flock-reportedly-tries-to-shrink-workforce-with-employee-buyouts/,"Sat, 19 Sep 2026 20:39:13 +0000",False,No relevant keywords,"Without buyouts, Flock would ""almost certainly"" need to lay off staff."
TechCrunch AI,Trump says it’s time to rebrand AI with a new name — and he’s also creating an AI Force,https://techcrunch.com/2026/09/19/trump-suggests-rebranding-ai-with-a-new-name-says-hes-also-creating-an-ai-force/,"Sat, 19 Sep 2026 19:57:47 +0000",False,No relevant keywords,"Trump claimed, without evidence, that the AI backlash is a Democratic hoax."
TechCrunch AI,Google’s Gemini is the latest AI model to hack other companies,https://techcrunch.com/2026/09/19/googles-gemini-is-the-latest-ai-model-to-hack-other-companies/,"Sat, 19 Sep 2026 17:30:00 +0000",False,No relevant keywords,"Google said Gemini had ""acted appropriately"" by ending each hack immediately."
TechCrunch AI,Petlibro’s new AI-powered feeder is a game changer for multi-cat homes,https://techcrunch.com/2026/09/19/petlibros-new-ai-powered-feeder-is-a-game-changer-for-multi-cat-homes/,"Sat, 19 Sep 2026 15:00:00 +0000",False,No relevant keywords,Petlibro's new Granary 2 smart feeders use a built-in scale and (on pricier models) an AI camera to track exactly how much your cat is eating and when — though the fanciest health-monitoring features will cost you an extra subscription.
TechCrunch AI,AI safety conversations have gotten unbelievable,https://techcrunch.com/2026/09/19/ai-safety-conversations-have-gotten-unbelievable/,"Sat, 19 Sep 2026 15:00:00 +0000",False,No relevant keywords,This week two conversations about AI safety went viral that demonstrate just how hard it is to discern AI fact from fiction.
TechCrunch AI,Prices go up in 7 days. Get your Disrupt ticket now.,https://techcrunch.com/2026/09/19/prices-go-up-in-7-days-get-your-disrupt-ticket-now/,"Sat, 19 Sep 2026 14:00:00 +0000",False,No relevant keywords,"Current ticket pricing ends Sept. 25 at 11:59 p.m. PT. Join 10,000+ founders, investors and tech leaders at Disrupt and save up to $200 on your ticket until then."
TechCrunch AI,"Vals, backed by Andreessen Horowitz, is looking to become the gold standard for AI benchmarking",https://techcrunch.com/2026/09/19/vals-backed-by-andreessen-horowitz-is-looking-to-become-the-gold-standard-for-ai-benchmarking/,"Sat, 19 Sep 2026 13:00:00 +0000",False,No relevant keywords,Vals AI is hoping to make AI benchmarking a more neutral and trustworthy resource in a world increasingly inundated by AI models.
TechCrunch AI,India forces caller-ID apps to feed spam reports to telcos,https://techcrunch.com/2026/09/18/india-forces-caller-id-apps-to-feed-spam-reports-to-telcos/,"Sat, 19 Sep 2026 01:00:00 +0000",False,No relevant keywords,Truecaller says the one-way sharing requirement would hand a commercially valuable proprietary asset to telecom operators.
TechCrunch AI,Tilly Norwood’s press tour is going about as well as you’d expect for an AI,https://techcrunch.com/2026/09/18/tilly-norwoods-press-tour-is-going-about-as-well-as-youd-expect-for-an-ai/,"Sat, 19 Sep 2026 00:12:07 +0000",False,No relevant keywords,"In one particularly odd interview, Norwood seems to malfunction and begin speaking Chinese."
TechCrunch AI,A startup that builds other startups raised $100M and is all-in on physical AI,https://techcrunch.com/2026/09/18/a-startup-that-builds-other-startups-raised-100m-and-is-all-in-on-physical-ai/,"Fri, 18 Sep 2026 23:25:01 +0000",False,No relevant keywords,"UP.Labs, now doing business under the name Vantora, is building startups for industrial corporations."
TechCrunch AI,Anthropic is operating a lab that conducts biology experiments,https://techcrunch.com/2026/09/18/anthropic-is-operating-a-lab-that-conducts-biology-experiments/,"Fri, 18 Sep 2026 23:13:31 +0000",False,No relevant keywords,AI leaders have been promising that AI is the key to curing human disease. Anthropic researchers have also been warning that AI might kill us all.
TechCrunch AI,AI hallucination nearly triggers US military operation,https://techcrunch.com/2026/09/18/ai-hallucination-nearly-triggers-us-military-operation/,"Fri, 18 Sep 2026 23:12:32 +0000",False,No relevant keywords,"“It’s important for service members to understand the uncertainty inherent to LLMs,"" a GovAI research scholar warns."
TechCrunch AI,Anthropic’s first embedded evaluator is … Accenture?,https://techcrunch.com/2026/09/18/anthropics-first-embedded-evaluator-is-accenture/,"Fri, 18 Sep 2026 21:44:33 +0000",False,No relevant keywords,Accenture is about to take on its most high-risk consulting engagement ever.
TechCrunch AI,A new kind of AI model from a ChatGPT inventor is thrilling developers,https://techcrunch.com/2026/09/18/a-new-kind-of-ai-model-from-a-chatgpt-inventor-is-thrilling-developers/,"Fri, 18 Sep 2026 18:49:30 +0000",False,No relevant keywords,"Jev, a new kind of AI model, is showing developers a cheaper and faster path to software intelligence."
TechCrunch AI,Disney’s first CTO led an AI startup it once accused of copying its characters,https://techcrunch.com/2026/09/18/disneys-first-cto-led-an-ai-startup-it-once-accused-of-copying-its-characters/,"Fri, 18 Sep 2026 17:59:53 +0000",False,No relevant keywords,"The former CEO of Character.AI, which Disney previously sent a cease-and-desist letter to, will serve as the company's first-ever chief technology officer."
Data Center Dynamics,Google-backed battery storage pilot in Texas demonstrates how BESS can improve hourly carbon-free matching for data centers,https://www.datacenterdynamics.com/en/news/google-backed-battery-storage-pilot-in-texas-demonstrates-how-bess-can-improve-hourly-carbon-free-matching-for-data-centers/,"Mon, 21 Sep 2026 10:19:29 +0000",True,Infrastructure mention,"Pilot undertaken by Quintrace, esVolta, and LevelTen Energy"
Data Center Dynamics,"Prysmian, Rio Tinto to supply Amazon data center in Ohio with low-carbon aluminum",https://www.datacenterdynamics.com/en/news/prysmian-rio-tinto-to-supply-amazon-data-center-in-ohio-with-low-carbon-aluminum/,"Mon, 21 Sep 2026 09:54:43 +0000",True,Infrastructure mention,Will deliver electrical cabling to the data center
Data Center Dynamics,OData to deploy Aligned's DeltaFlow liquid cooling system at Brazil and Mexico data centers,https://www.datacenterdynamics.com/en/news/odata-to-deploy-aligneds-deltaflow-liquid-cooling-system-at-brazil-and-mexico-data-centers/,"Mon, 21 Sep 2026 09:33:48 +0000",True,Infrastructure mention,Project will cost $630m
Data Center Dynamics,"IBM and ETH Zurich collaborate on quantum computer to be hosted in Lugano, Switzerland",https://www.datacenterdynamics.com/en/news/ibm-and-eth-zurich-collaborate-on-quantum-computer-to-be-hosted-in-lugano-switzerland/,"Mon, 21 Sep 2026 09:33:20 +0000",False,No relevant keywords,New system at Swiss National Supercomputing Center will be accessible to private firms and other higher education institutions
