source,title,link,published,relevant,reason,summary
TechCrunch AI,The AI world is getting ‘loopy’,https://techcrunch.com/2026/06/22/the-ai-world-is-getting-loopy/,"Mon, 22 Jun 2026 20:53:11 +0000",False,No relevant keywords,"The loop takes agentic AI a step further by authorizing a swarm of agents to work continuously in the background, endlessly."
TechCrunch AI,"AI chipmaker Groq confirms $650M raise, re-staffs after Nvidia’s $20B not-acqui-hire deal",https://techcrunch.com/2026/06/22/ai-chipmaker-groq-confirms-650m-raise-re-staffs-after-nvidias-20b-not-acqui-hire-deal/,"Mon, 22 Jun 2026 20:13:58 +0000",False,No relevant keywords,"What does an AI company do after one of those not-acqui-hire deals? Groq raised money, is leaning into its neocloud business, and is hiring new execs."
TechCrunch AI,"Nvidia wants to cut data center water use, but that’s not the same as fixing AI’s water problem",https://techcrunch.com/2026/06/22/nvidia-wants-to-cut-data-center-water-use-but-thats-not-the-same-as-fixing-ais-water-problem/,"Mon, 22 Jun 2026 20:08:15 +0000",True,AI + Energy nexus,Nvidia announced a new cooling system that cuts water use inside the data center. But it does nothing to address AI's biggest water use — fossil fuel power plants.
TechCrunch AI,Google DeepMind bets $75M on AI’s future in Hollywood with A24 deal,https://techcrunch.com/2026/06/22/google-deepmind-bets-75m-on-ais-future-in-hollywood-with-a24-deal/,"Mon, 22 Jun 2026 18:49:44 +0000",False,No relevant keywords,Google DeepMind and A24 are teaming up to build AI filmmaking tools.
TechCrunch AI,Amazon is testing Alexa+ in India with Hindi support,https://techcrunch.com/2026/06/22/amazon-is-testing-alexa-in-india-with-hindi-support/,"Mon, 22 Jun 2026 17:31:29 +0000",False,No relevant keywords,Amazon is planning to increase the footprint of its new conversational AI assistant Alexa+ to India and is inviting users in the country to test out a Hindi-language version.
TechCrunch AI,"SpaceX inks compute deal with Reflection AI, an open source AI lab",https://techcrunch.com/2026/06/22/spacex-inks-compute-deal-with-reflection-ai-an-open-source-ai-lab/,"Mon, 22 Jun 2026 16:51:29 +0000",True,Infrastructure mention,"Reflection AI will pay $150 million a month beginning July 1, 2026 through 2029 for immediate access to Nvidia's latest GB300 AI chips and supporting hardware across SpaceX's Colossus 2 data center near Memphis, Tennessee."
TechCrunch AI,The founder conference built for growth: TechCrunch Founder Summit pass rates increase June 26,https://techcrunch.com/2026/06/22/the-founder-conference-built-for-growth-techcrunch-founder-summit-pass-rates-increase-june-26/,"Mon, 22 Jun 2026 14:00:00 +0000",False,No relevant keywords,"Save up to $190 on your pass to TechCrunch Founder Summit 2026 by June 26, 11:59 p.m. PT. Designed for founders first on November 4 in Boston. Register today."
TechCrunch AI,"When the Trump administration cracks down on Anthropic, who benefits?",https://techcrunch.com/2026/06/21/when-the-trump-administration-cracks-down-on-anthropic-who-benefits/,"Sun, 21 Jun 2026 15:28:17 +0000",False,No relevant keywords,"On the new episode of Equity, we discussed what actually prompted the administration's latest moves against Anthropic, and what this might mean for the AI ecosystem."
TechCrunch AI,Beyond Siri: Here are the practical AI features coming to your iPhone in iOS 27,https://techcrunch.com/2026/06/21/beyond-siri-here-are-the-practical-ai-features-coming-to-your-iphone-in-ios-27/,"Sun, 21 Jun 2026 14:40:28 +0000",False,No relevant keywords,"Siri’s AI overhaul may have grabbed the headlines at WWDC, but some of Apple’s most useful AI features are arriving elsewhere in iOS 27."
TechCrunch AI,Signal’s Meredith Whittaker wants you to remember that AI chatbots ‘are not your friends’,https://techcrunch.com/2026/06/20/signals-meredith-whittaker-wants-you-to-remember-that-ai-chatbots-are-not-your-friends/,"Sat, 20 Jun 2026 20:32:29 +0000",False,No relevant keywords,"""These are not your friends. These are not conscious beings. These are not sentient interlocutors.”"
