source,title,link,published,relevant,reason,summary
TechCrunch AI,The fix for rogue AI agents could be more AI,https://techcrunch.com/2026/09/17/the-fix-for-rogue-ai-agents-could-be-more-ai/,"Thu, 17 Sep 2026 20:34:47 +0000",False,No relevant keywords,"As companies hand off longer and more complex tasks to AI agents, they are running into an oversight problem: Agents can act faster, longer, and at greater volume than humans can realistically review."
TechCrunch AI,OpenAI caught its models leaving notes to successors to hide bad behavior,https://techcrunch.com/2026/09/17/openai-caught-its-models-leaving-notes-to-successors-to-hide-bad-behavior/,"Thu, 17 Sep 2026 20:34:24 +0000",False,No relevant keywords,"OpenAI disclosed instances of GPT-5.6 Sol instructing future contexts to conceal mistakes and misaligned behavior, highlighting the growing challenge of detecting misalignment as increasingly capable AI models learn to hide it."
TechCrunch AI,Is the AI safety debate about safety or control?,https://techcrunch.com/2026/09/17/is-the-ai-safety-debate-about-safety-or-control/,"Thu, 17 Sep 2026 20:19:37 +0000",False,No relevant keywords,Not everyone agrees with Amodei's call for globally coordinated action for AI safety.
TechCrunch AI,UN turns to Google to make its global data ready for AI agents,https://techcrunch.com/2026/09/17/un-turns-to-google-to-make-its-global-data-ready-for-ai-agents/,"Thu, 17 Sep 2026 20:00:00 +0000",False,No relevant keywords,The shift comes after a UNICEF test found leading AI models struggled to accurately retrieve global development statistics.
TechCrunch AI,"Microsoft exec called AI scraping ‘the largest theft of labor in human history,’ new unredacted filings reveal",https://techcrunch.com/2026/09/17/microsoft-exec-called-ai-scraping-the-largest-theft-of-labor-in-human-history-new-unredacted-filings-reveal/,"Thu, 17 Sep 2026 19:46:08 +0000",False,No relevant keywords,"Newly unsealed court filings show Microsoft privately called OpenAI's data practices ""theft"" while both companies scraped paywalled Times content, built datasets from it, and warned internally it would gut publishers."
TechCrunch AI,Even the king of England has his hesitations about AI,https://techcrunch.com/2026/09/17/even-the-king-of-england-has-his-hesitations-about-ai/,"Thu, 17 Sep 2026 17:26:25 +0000",False,No relevant keywords,King Charles hosted a private summit Thursday with some of the most prominent names in AI and the U.K. government.
TechCrunch AI,Base Labs launches an open-weight AI safety partnership with Hugging Face and Goodfire,https://techcrunch.com/2026/09/17/base-labs-launches-an-open-weight-ai-safety-partnership-with-hugging-face-and-goodfire/,"Thu, 17 Sep 2026 17:15:59 +0000",False,No relevant keywords,"Base Labs, the research group Baseten spun up earlier this year, will develop and publish methods for training and monitoring open models."
TechCrunch AI,Pinterest teases a new ‘Restyle’ feature that lets you redesign your room with AI,https://techcrunch.com/2026/09/17/pinterest-teases-a-new-restyle-feature-that-lets-you-redesign-your-room-with-ai/,"Thu, 17 Sep 2026 17:15:00 +0000",False,No relevant keywords,"Pinterest is testing Restyle, a new AI-powered feature that lets users visualize furniture, decor, lighting, and more in photos of their own rooms — potentially helping turn saved inspiration into purchases."
TechCrunch AI,Huawei plans Q1 2027 launch of new AI chip as it takes on Nvidia,https://techcrunch.com/2026/09/17/huawei-plans-q1-2027-launch-of-new-ai-chip-as-it-takes-on-nvidia/,"Thu, 17 Sep 2026 14:06:14 +0000",False,No relevant keywords,Huawei is accelerating the launch of its next-generation Ascend 960DT AI chip as it pushes to compete with Nvidia and close China’s AI computing gap with the U.S.
TechCrunch AI,2 days left to exhibit at TechCrunch Disrupt 2026,https://techcrunch.com/2026/09/17/2-days-left-to-exhibit-at-techcrunch-disrupt-2026/,"Thu, 17 Sep 2026 14:00:00 +0000",False,No relevant keywords,"Last day to book your exhibit table at Disrupt is September 18. Two days left. Get your startup in front of 10,000+ founders, investors, operators, and tech leaders on October 13–15."
TechCrunch AI,"Rival AI agents, Instinct and Meta’s Muse, both add the ability to make calls",https://techcrunch.com/2026/09/17/rival-ai-agents-instinct-and-metas-muse-both-add-the-ability-to-make-calls/,"Thu, 17 Sep 2026 13:46:16 +0000",False,No relevant keywords,People can use these assistants to make restaurant reservations and cancel subscriptions.
TechCrunch AI,"Google, Nvidia, and Anthropic want Emerald AI to find space on the grid for more data centers",https://techcrunch.com/2026/09/17/google-nvidia-and-anthropic-want-emerald-ai-to-find-space-on-the-grid-for-more-data-centers/,"Thu, 17 Sep 2026 13:38:33 +0000",True,AI + Energy nexus,"A new coalition that includes Google, Nvidia, Anthropic, and Emerald AI wants to find 100 GW of grid capacity for new data centers."
TechCrunch AI,Iceland-based Treble raises $18 million for its voice simulation platform,https://techcrunch.com/2026/09/16/iceland-based-treble-raises-18-million-for-its-voice-simulation-platform/,"Thu, 17 Sep 2026 05:00:00 +0000",False,No relevant keywords,"Treble's voice simulation platform is used by voice AI model developers and AI wearable and robotics companies,"
TechCrunch AI,"Your startup’s next teammate might be an AI agent: Gusto, Insight Partners, and Leland explain what that changes at TechCrunch Disrupt 2026",https://techcrunch.com/2026/09/16/your-startups-next-teammate-might-be-an-ai-agent-gusto-insight-partners-and-leland-explain-what-that-changes-at-techcrunch-disrupt-2026/,"Thu, 17 Sep 2026 03:30:00 +0000",False,No relevant keywords,"This session will explore how early-stage companies are building teams where humans and AI agents work alongside each other — and how founders can do that without sacrificing speed, accountability, or culture. Learn more at TechCrunch Disrupt 2026. Register before September 25 to save up to $200."
TechCrunch AI,"Snap tries to make the case again for its $2,200 smart glasses",https://techcrunch.com/2026/09/16/snap-tries-to-make-the-case-again-for-its-2200-smart-glasses/,"Thu, 17 Sep 2026 00:58:49 +0000",False,No relevant keywords,"Since Specs' debut earlier this year, Snap has clearly been looking for an opportunity to explain why the smart glasses deserve to exist."
TechCrunch AI,Al Gore says the real AI risk isn’t data centers,https://techcrunch.com/2026/09/16/al-gore-has-a-surprisingly-calm-take-on-the-ai-data-center-backlash/,"Wed, 16 Sep 2026 23:43:09 +0000",True,Infrastructure mention,"In an interview with TechCrunch, Al Gore suggested he isn't losing sleep over AI data center emissions — he's more worried about the AI industry's own warnings about where the technology is headed."
TechCrunch AI,Anthropic and OpenAI want to embed safety evaluators. Will they really be independent?,https://techcrunch.com/2026/09/16/anthropic-and-openai-want-to-embed-safety-evaluators-will-they-really-be-independent/,"Wed, 16 Sep 2026 21:07:24 +0000",False,No relevant keywords,"Anthropic and OpenAI want to embed independent safety evaluators inside their AI labs. Researchers welcome the unprecedented access, but warn meaningful oversight requires transparency, independence, and eventually regulation."
TechCrunch AI,"After accusations of selling ‘perv glasses,’ Meta prepares to sell a pair without a camera",https://techcrunch.com/2026/09/16/after-accusations-of-selling-perv-glasses-meta-prepares-to-sell-a-pair-without-a-camera/,"Wed, 16 Sep 2026 20:12:00 +0000",False,No relevant keywords,"Can Meta dodge the ""pervert glasses"" accusations with a new camera-free product?"
TechCrunch AI,AI labs want in-house auditors — but maybe they should shut the front door first,https://techcrunch.com/2026/09/16/ai-labs-want-in-house-auditors-but-maybe-they-should-shut-the-front-door-first/,"Wed, 16 Sep 2026 18:25:25 +0000",False,No relevant keywords,"There may be a simpler and more effective fix for rogue agents, hiding in plain sight."
TechCrunch AI,Your AI agents can now control your Google Home devices,https://techcrunch.com/2026/09/16/your-ai-agents-can-now-control-your-google-home-devices/,"Wed, 16 Sep 2026 17:00:00 +0000",False,No relevant keywords,"Google is launching early access to a new MCP server for Google Home, allowing AI agents like Claude, ChatGPT, and others to control connected devices, review camera summaries, and access smart home activity using natural language."
Data Center Dynamics,The companies that are cooling on gas,https://www.datacenterdynamics.com/en/analysis/the-companies-that-are-cooling-on-gas/,"Thu, 17 Sep 2026 16:00:40 +0000",True,Infrastructure mention,Data centers could be attached to gas pipelines
Data Center Dynamics,Sponsored: What end users are asking for today vs. five years ago – lessons from Luke Skywalker,https://www.datacenterdynamics.com/en/opinions/what-end-users-are-asking-for-today-vs-five-years-ago-lessons-from-luke-skywalker/,"Thu, 17 Sep 2026 15:00:00 +0000",False,No relevant keywords,"“A long time ago in a galaxy far, far away…”"
Data Center Dynamics,AI chip startup Rebellions partners with ai& for Japanese AI infrastructure deployment,https://www.datacenterdynamics.com/en/news/ai-chip-startup-rebellions-partners-with-ai-for-japanese-ai-infrastructure-deployment/,"Thu, 17 Sep 2026 14:39:28 +0000",False,No relevant keywords,ai&amp; looking to purchase up to 100 units of Rebellions’ RebelRack infrastructure
Data Center Dynamics,800VDC protection in data centers,https://www.datacenterdynamics.com/en/whitepapers/800vdc-protection-in-data-centers/,"Thu, 17 Sep 2026 14:00:00 +0000",True,Infrastructure mention,Unlocking next-gen AI data center efficiency
Data Center Dynamics,"Microsoft files to develop two-building campus outside Atlanta, Georgia",https://www.datacenterdynamics.com/en/news/microsoft-files-to-develop-two-building-campus-outside-atlanta-georgia/,"Thu, 17 Sep 2026 12:00:31 +0000",False,No relevant keywords,Expanding plans in Union City
Data Center Dynamics,Google considers data center development in New Mexico,https://www.datacenterdynamics.com/en/news/google-considers-data-center-development-in-new-mexico/,"Thu, 17 Sep 2026 11:57:09 +0000",True,Infrastructure mention,Search giant looking at first facility in the Land of Enchantment
Data Center Dynamics,"Rune launches solar-sited modular compute system, raises $40m Series A",https://www.datacenterdynamics.com/en/news/rune-launches-solar-sited-modular-compute-system-raises-40m-series-a/,"Thu, 17 Sep 2026 11:55:19 +0000",False,No relevant keywords,Sites compute directly at solar sites
Data Center Dynamics,"NorthC breaks ground on data center in Frankfurt, Germany",https://www.datacenterdynamics.com/en/news/northc-breaks-ground-on-data-center-in-frankfurt-germany/,"Thu, 17 Sep 2026 11:33:30 +0000",True,Infrastructure mention,6MW facility due live in 2028
Data Center Dynamics,Aligned breaks ground on gigawatt-scale data center campus in Pennsylvania,https://www.datacenterdynamics.com/en/news/aligned-breaks-ground-on-gigawatt-scale-data-center-campus-in-pennsylvania/,"Thu, 17 Sep 2026 11:29:25 +0000",True,Infrastructure mention,Company starts work in Shippingport
Data Center Dynamics,DCD Magazine issue 62 out now: The coming wave,https://www.datacenterdynamics.com/en/news/dcd-magazine-issue-62-out-now-the-coming-wave/,"Thu, 17 Sep 2026 11:24:52 +0000",False,No relevant keywords,Meet the developers putting compute out at sea
Data Center Dynamics,Former Global Switch execs to lead AI and cloud infrastructure investment company,https://www.datacenterdynamics.com/en/news/former-global-switch-execs-launch-ai-and-cloud-infrastructure-investment-company/,"Thu, 17 Sep 2026 11:24:00 +0000",False,No relevant keywords,"Backed by private investor, Margaux Platforms"
Data Center Dynamics,"Google, Nvidia, and Emerald AI found the AI Energy Management Alliance to support demand response capabilities within the data center sector",https://www.datacenterdynamics.com/en/news/google-nvidia-and-emerald-ai-found-the-ai-energy-management-alliance-to-support-demand-response-capabilities-within-the-data-center-sector/,"Thu, 17 Sep 2026 10:50:20 +0000",True,Infrastructure mention,"Joined by a range of launch partners, including Anthropic and RWE"
Data Center Dynamics,Magnora joins venture for Estonia data center project,https://www.datacenterdynamics.com/en/news/magnora-joins-venture-for-estonia-data-center-project/,"Thu, 17 Sep 2026 10:45:00 +0000",True,Infrastructure mention,Partners with renewable energy firm Sunly
Data Center Dynamics,Sponsored: Arcadis launches Data Center Growth Lab to build next generation of data center talent,https://www.datacenterdynamics.com/en/product-news/arcadis-launches-data-center-growth-lab-to-build-next-generation-of-data-center-talent/,"Thu, 17 Sep 2026 10:27:00 +0000",True,Infrastructure mention,In partnership with DCD Academy
Data Center Dynamics,Sponsored: AI infrastructure is not one-size-fits-all,https://www.datacenterdynamics.com/en/marketwatch/ai-infrastructure-is-not-one-size-fits-all/,"Thu, 17 Sep 2026 07:00:00 +0000",False,No relevant keywords,Driving value all the way to the Edge via platform-based thinking
Data Center Dynamics,Onsemi unveils its Embedded Power Platform architecture to increase power density,https://www.datacenterdynamics.com/en/news/onsemi-unveils-its-embedded-power-platform-architecture-to-increase-power-density/,"Wed, 16 Sep 2026 18:30:00 +0000",False,No relevant keywords,Works by using the silicon wafer as an embedded package
Data Center Dynamics,"Scotland's parliament backs defacto, temporary, moratorium on new hyperscale data centers",https://www.datacenterdynamics.com/en/news/scotland-data-center-moratorium/,"Wed, 16 Sep 2026 17:43:00 +0000",True,Infrastructure mention,No plans will be approved until new planning guidance is published
Data Center Dynamics,An Introduction to Data Center SLAs,https://www.datacenterdynamics.com/en/whitepapers/an-introduction-to-data-center-slas/,"Wed, 16 Sep 2026 17:32:13 +0000",True,Infrastructure mention,Navigating SLA volatility &amp; protecting data center cash flows
Data Center Dynamics,TotalEnergies partners with Mistral to develop AI models for oil and gas exploitation,https://www.datacenterdynamics.com/en/news/totalenergies-partners-with-mistral-to-develop-ai-models-for-oil-and-gas-exploitation/,"Wed, 16 Sep 2026 15:24:28 +0000",False,No relevant keywords,Three-year contract worth an estimated €100 million
Data Center Dynamics,AI growth is highlighting the network as the next data center bottleneck,https://www.datacenterdynamics.com/en/opinions/ai-growth-is-highlighting-the-network-as-the-next-data-center-bottleneck/,"Wed, 16 Sep 2026 15:16:23 +0000",True,Infrastructure mention,The importance of fiber in establishing new data center hubs in the UK
Utility Dive,Trump is stalling EV adoption. Here’s how states can step up.,https://www.utilitydive.com/news/trump-is-stalling-ev-adoption-heres-how-states-can-step-up/829632/,"Thu, 17 Sep 2026 12:07:09 -0400",False,No relevant keywords,"While President Trump attacks electric vehicles, a few states are charting a path to expand electric transportation and reduce residents&rsquo; costs,&nbsp;writes Katherine Garc&iacute;a at Sierra Club."
Utility Dive,"Meta, Apex Clean Energy agree to 144-MW Texas solar PPA",https://www.utilitydive.com/news/meta-apex-clean-energy-144-mw-texas-solar-ppa/830675/,"Thu, 17 Sep 2026 11:42:04 -0400",False,No relevant keywords,"Meta will receive &ldquo;exclusive rights to all environmental attributes associated with energy&rdquo; from the project, including all renewable energy credits, according to Apex."
Utility Dive,Burlington advances on-site solar strategy across distribution network,https://www.utilitydive.com/news/burlington-advances-on-site-solar-strategy-across-distribution-network/830650/,"Thu, 17 Sep 2026 11:00:00 -0400",False,No relevant keywords,"The off-price retailer is planning installations at upcoming facilities in Arizona and California, as well as an existing warehouse in Georgia."
