source,title,link,published,relevant,reason,summary
TechCrunch AI,"Malaysia’s AI agent-powered messaging app Respond.io raises $62.5M, eyes acquisitions",https://techcrunch.com/2026/06/15/malaysias-respond-io-raises-62-5m-eyes-acquisitions-in-north-america-and-europe/,"Tue, 16 Jun 2026 06:59:00 +0000",False,No relevant keywords,"Respond.io, one of Malaysia startups to watch, uses AI agents to handle high volumes of customer inquiries and charges per convo, not per seat."
TechCrunch AI,"Sundar Pichai faces boos, walkout at Stanford graduation ceremony over Google’s Israel, ICE ties",https://techcrunch.com/2026/06/15/sundar-pichai-faces-boos-walkout-at-stanford-graduation-ceremony-over-googles-israel-ice-ties/,"Mon, 15 Jun 2026 23:51:44 +0000",False,No relevant keywords,AI is once again at the heart of a college graduation protest — this time for the technology's use in Google's defense contracts.
TechCrunch AI,The US government’s Anthropic models ban was never about an AI jailbreak,https://techcrunch.com/2026/06/15/the-us-governments-anthropic-models-ban-was-never-about-an-ai-jailbreak/,"Mon, 15 Jun 2026 21:50:21 +0000",False,No relevant keywords,"The Trump administration's decision that forced Anthropic to pull its latest cybersecurity models could be reactionary, retaliatory, or both, but the message is clear: The AI industry isn't immune from U.S. government interference."
TechCrunch AI,Meta’s new ‘AI Mode’ on Facebook pulls from public info across its platforms,https://techcrunch.com/2026/06/15/metas-new-ai-mode-on-facebook-pulls-from-public-info-across-its-platforms/,"Mon, 15 Jun 2026 18:30:58 +0000",False,No relevant keywords,"Meta announced Monday that it's rolling out a wave of new AI features on Facebook, the latest sign of the company's effort to catch up in the AI race and keep users more engaged on the platform."
TechCrunch AI,SpaceX is public: Everything you need to know post-IPO,https://techcrunch.com/2026/06/15/spacex-is-public-everything-you-need-to-know-post-ipo/,"Mon, 15 Jun 2026 18:30:34 +0000",False,No relevant keywords,"TechCrunch has followed SpaceX's start, struggles, and successes from the early days. And we're here for what happens next too. This package of SpaceX IPO coverage includes who stands to win (and maybe some who won't), pre-IPO deals, and what's tucked inside its S-1 registration document."
TechCrunch AI,Cybersecurity vets protest ‘dangerous’ US government ban on Anthropic’s most powerful models,https://techcrunch.com/2026/06/15/cybersecurity-vets-protest-dangerous-us-government-ban-on-anthropics-most-powerful-models/,"Mon, 15 Jun 2026 15:29:51 +0000",False,No relevant keywords,"A group made up of dozens of cybersecurity experts urged the White House to remove export-control restrictions on Anthropic’s Fable and Mythos models, arguing that the order is going to limit the ability of cybersecurity defenders to secure their software and products."
TechCrunch AI,Salesforce acquires AI customer service platform Fin for $3.6B,https://techcrunch.com/2026/06/15/salesforce-acquires-ai-customer-service-platform-fin-for-3-6b/,"Mon, 15 Jun 2026 14:34:45 +0000",False,No relevant keywords,"Salesforce says it wants to use Fin's team and technology to improve Agentforce, its existing enterprise platform that businesses can use to build custom AI agents that automate tasks."
TechCrunch AI,Sarvam becomes India’s newest AI unicorn with $234 million funding round led by HCLTech,https://techcrunch.com/2026/06/15/sarvam-becomes-indias-newest-ai-unicorn-with-234-million-funding-round-led-by-hcltech/,"Mon, 15 Jun 2026 13:46:08 +0000",False,No relevant keywords,Indian IT services company HCLTech is investing $150 million in the Bengaluru startup.
TechCrunch AI,"As AI agents become employees, NewCore emerges with $66M to give them identities",https://techcrunch.com/2026/06/15/ai-agents-are-becoming-employees-newcore-emerges-with-66m-to-give-them-identities/,"Mon, 15 Jun 2026 13:00:00 +0000",False,No relevant keywords,"NewCore argues the next challenge in enterprise security will be managing AI agents, not people."
TechCrunch AI,A satellite just learned to find things on its own — here’s what that means,https://techcrunch.com/2026/06/15/a-satellite-just-learned-to-find-things-on-its-own-heres-what-that-means/,"Mon, 15 Jun 2026 12:00:00 +0000",False,No relevant keywords,"In April, for the first time ever, an Earth observation satellite found what it was looking for, all on its own."
