source,title,link,published,relevant,reason,summary
TechCrunch AI,Anthropic temporarily banned OpenClaw’s creator from accessing Claude,https://techcrunch.com/2026/04/10/anthropic-temporarily-banned-openclaws-creator-from-accessing-claude/,"Fri, 10 Apr 2026 20:27:52 +0000",False,No relevant keywords,This ban took place after Claude's pricing changed for OpenClaw users last week.
TechCrunch AI,"Stalking victim sues OpenAI, claims ChatGPT fueled her abuser’s delusions and ignored her warnings",https://techcrunch.com/2026/04/10/stalking-victim-sues-openai-claims-chatgpt-fueled-her-abusers-delusions-and-ignored-her-warnings/,"Fri, 10 Apr 2026 16:41:34 +0000",False,No relevant keywords,"OpenAI ignored three warnings that a ChatGPT user was dangerous — including its own mass-casualty flag — while he stalked and harassed his ex-girlfriend, a new lawsuit alleges."
TechCrunch AI,TechCrunch is heading to Tokyo — and bringing the Startup Battlefield with it,https://techcrunch.com/2026/04/10/techcrunch-is-heading-to-tokyo-and-bringing-the-startup-battlefield-with-it/,"Fri, 10 Apr 2026 16:38:43 +0000",False,No relevant keywords,"SusHi Tech 2026 is zeroing in on four technology domains reshaping society: AI, Robotics, Resilience, and Entertainment. Expect live demos of humanoid robots, sessions on autonomous driving's software revolution, deep dives into cyber defense and climate tech, and candid conversations about how AI is rewriting the global music and anime industries."
TechCrunch AI,Last 24 hours: Save up to $500 on your TechCrunch Disrupt 2026 pass,https://techcrunch.com/2026/04/10/final-24-hours-save-up-to-500-on-your-techcrunch-disrupt-2026-pass/,"Fri, 10 Apr 2026 14:00:00 +0000",False,No relevant keywords,This is it. Tonight is your last chance to lock in savings of up to $500 for your TechCrunch Disrupt 2026 pass. These discounts end at 11:59 p.m. PT.
TechCrunch AI,ChatGPT finally offers $100/month Pro plan,https://techcrunch.com/2026/04/09/chatgpt-pro-plan-100-month-codex/,"Thu, 09 Apr 2026 21:29:11 +0000",False,No relevant keywords,"OpenAI announced on Thursday something that power users have been asking for: a $100/month plan. Previously, subscriptions jumped from $20 to $200 per month."
TechCrunch AI,Florida AG announces investigation into OpenAI over shooting that allegedly involved ChatGPT,https://techcrunch.com/2026/04/09/florida-ag-investigation-openai-chatgpt-shooting/,"Thu, 09 Apr 2026 20:11:55 +0000",False,No relevant keywords,ChatGPT had reportedly been used to plan the attack that killed two and injured five at Florida State University last April. The family of one victim has said that they plan to sue OpenAI over the incident.
TechCrunch AI,"After data breach, $10B-valued startup Mercor is having a month",https://techcrunch.com/2026/04/09/after-data-breach-10b-valued-startup-mercor-is-having-a-month/,"Thu, 09 Apr 2026 19:33:54 +0000",False,No relevant keywords,"After falling victim to a hacker, Mercor is facing lawsuits and reportedly losing big-name customers."
TechCrunch AI,Meta AI app climbs to No. 5 on the App Store after Muse Spark launch,https://techcrunch.com/2026/04/09/meta-ai-app-climbs-to-no-5-on-the-app-store-after-muse-spark-launch/,"Thu, 09 Apr 2026 19:10:07 +0000",False,No relevant keywords,The app was ranking No. 57 on the App Store just before Meta AI's new model launched. Now it's No. 5 — and rising.
TechCrunch AI,Is Anthropic limiting the release of Mythos to protect the internet — or Anthropic?,https://techcrunch.com/2026/04/09/is-anthropic-limiting-the-release-of-mythos-to-protect-the-internet-or-anthropic/,"Thu, 09 Apr 2026 18:50:05 +0000",False,No relevant keywords,"Anthropic said this week that it limited the release of its newest model, dubbed Mythos, because it is too capable of finding security exploits in software relied upon by users around the world. Are real cybersecurity concerns a cover for a bigger problem at the frontier lab?"
TechCrunch AI,Google and Intel deepen AI infrastructure partnership,https://techcrunch.com/2026/04/09/google-and-intel-deepen-ai-infrastructure-partnership/,"Thu, 09 Apr 2026 18:27:47 +0000",False,No relevant keywords,"The two tech giants are looking to co-develop custom chips, at a time when demand for CPUs is high due to a growing global shortage."
TechCrunch AI,Sierra’s Bret Taylor says the era of clicking buttons is over,https://techcrunch.com/2026/04/09/sierras-bret-taylor-says-the-era-of-clicking-buttons-is-over/,"Thu, 09 Apr 2026 17:20:50 +0000",False,No relevant keywords,"Last month, Sierra launched Ghostwriter, an agent designed to build other agents. With this “agent as a service” tool, the startup intends to replace traditional click-based web applications with natural language. Users simply describe what they need, prompting Ghostwriter to autonomously create and deploy a specialized agent to execute the task."
TechCrunch AI,"Amazon CEO takes aim at Nvidia, Intel, Starlink, more in annual shareholder letter",https://techcrunch.com/2026/04/09/amazon-ceo-takes-aim-at-nvidia-intel-starlink-more-in-annual-shareholder-letter/,"Thu, 09 Apr 2026 14:27:57 +0000",False,No relevant keywords,Andy Jassy's annual shareholder letter reads something like a diss track to a wide range of competitors as he defends spending $200 billion in capex.
