source,title,link,published,relevant,reason,summary
TechCrunch AI,"SpaceX valuation balloons to $2.6T, briefly passes Amazon",https://techcrunch.com/2026/06/16/spacex-valuation-balloons-to-2-6t-briefly-passes-amazon/,"Tue, 16 Jun 2026 20:11:00 +0000",False,No relevant keywords,SpaceX's valuation has increased by $1 trillion since its shares started trading on Friday.
TechCrunch AI,Android 17 launches with new multitasking tools as Google expands Gemini features,https://techcrunch.com/2026/06/16/android-17-launches-with-new-multitasking-tools-as-google-expands-gemini-features/,"Tue, 16 Jun 2026 18:00:00 +0000",False,No relevant keywords,"Google has released Android 17 and Wear OS 7, introducing new multitasking features, parental controls, security tools, and smartwatch upgrades. The launch is also accompanied by a Pixel Drop that brings Google’s latest AI models to its devices."
TechCrunch AI,"Sixty percent of US consumers say ‘AI’ in brand messaging is a turnoff, survey finds",https://techcrunch.com/2026/06/16/sixty-percent-of-u-s-consumers-say-ai-in-brand-messaging-is-a-turnoff-survey-finds/,"Tue, 16 Jun 2026 16:49:44 +0000",False,No relevant keywords,WordPress VIP’s latest survey suggests consumers are wary of AI-generated answers even as companies increasingly view AI search as an important referral channel.
TechCrunch AI,SpaceX is public: Everything you need to know post-IPO,https://techcrunch.com/2026/06/16/spacex-is-public-everything-you-need-to-know-post-ipo/,"Tue, 16 Jun 2026 15:53:12 +0000",False,No relevant keywords,"TechCrunch has followed SpaceX's start, struggles, and successes from the early days. And we're here for what happens next too. This package of SpaceX IPO coverage includes who stands to win (and maybe some who won't), pre-IPO deals, and what's tucked inside its S-1 registration document."
TechCrunch AI,"DOJ claims xAI’s unpermitted gas turbines are a matter of ‘national, economic, and energy security’",https://techcrunch.com/2026/06/16/doj-claims-xais-unpermitted-gas-turbines-are-a-matter-of-national-economic-and-energy-security/,"Tue, 16 Jun 2026 15:05:03 +0000",False,No relevant keywords,The Justice department says the Pentagon needs xAI to keep using its unpermitted gas turbines.
TechCrunch AI,Plaud says its software business topped $100M in ARR after shipping over 2M AI notetakers,https://techcrunch.com/2026/06/16/plaud-says-its-software-business-topped-100m-in-arr-after-shipping-over-2m-ai-notetakers/,"Tue, 16 Jun 2026 15:00:00 +0000",False,No relevant keywords,Plaud is trying to make a mark in a crowded market full of AI-powered meeting notetakers.
TechCrunch AI,Robinhood’s note on 10% layoffs shows blaming AI isn’t cutting it,https://techcrunch.com/2026/06/16/robinhoods-note-on-10-layoffs-shows-blaming-ai-isnt-cutting-it/,"Tue, 16 Jun 2026 14:50:09 +0000",False,No relevant keywords,"Unlike many of his tech industry peers who have cut thousands of jobs citing the need to restructure to make the most of AI, Robinhood's CEO Vlad Tenev conspicuously made no mention of AI in his note about layoffs."
TechCrunch AI,Probably raises $9M to build a more reliable kind of AI,https://techcrunch.com/2026/06/16/probably-raises-9m-to-build-a-more-reliable-kind-of-ai/,"Tue, 16 Jun 2026 13:15:09 +0000",False,No relevant keywords,"Probably wants to prevent hallucinations and factual errors from reaching users, and achieve accuracy on par with deterministic systems."
TechCrunch AI,"SpaceX to acquire Cursor for $60B in stock, days after blockbuster IPO",https://techcrunch.com/2026/06/16/spacex-to-acquire-cursor-for-60b-in-stock-days-after-blockbuster-ipo/,"Tue, 16 Jun 2026 11:21:41 +0000",False,No relevant keywords,The deal is supposed to help SpaceX's struggling AI division. The company told IPO investors it sees a $26 trillion addressable market in AI.
TechCrunch AI,ChatGPT’s market share slips below 50% for first time,https://techcrunch.com/2026/06/16/chatgpts-market-share-slips-below-50-for-first-time/,"Tue, 16 Jun 2026 10:30:00 +0000",False,No relevant keywords,"The chatbot still remains the most popular AI assistant worldwide with over 1.1 billion monthly users, followed by Gemini with 662 million and Claude with 245 million."
