source,title,link,published,relevant,reason,summary
TechCrunch AI,Patronus AI lands $50M to build ‘digital worlds’ that stress-test AI agents,https://techcrunch.com/2026/06/25/patronus-ai-lands-50m-to-build-digital-worlds-that-stress-test-ai-agents/,"Thu, 25 Jun 2026 20:19:25 +0000",False,No relevant keywords,"Agent-testing startup Patronus AI, founded by former Meta AI researchers, is experiencing nearly insatiable demand, its investor says."
TechCrunch AI,"Anthropic’s Claude is winning over paid consumers, a market owned by ChatGPT",https://techcrunch.com/2026/06/25/anthropics-claude-is-winning-over-paid-consumers-a-market-owned-by-chatgpt/,"Thu, 25 Jun 2026 17:38:27 +0000",False,No relevant keywords,"Despite ChatGPT's commanding market lead, consumers who pay for AI have been increasingly choosing Anthropic's Claude, data shows."
TechCrunch AI,General Intuition’s $2.3B bet that video games can train AI agents for the real world,https://techcrunch.com/2026/06/25/general-intuitions-2-3b-bet-that-video-games-can-train-ai-agents-for-the-real-world/,"Thu, 25 Jun 2026 16:55:00 +0000",False,No relevant keywords,"General Intuition has raised $320 million to scale AI trained on millions of hours of gameplay, betting action data can help AI develop something closer to human intuition."
TechCrunch AI,"Databricks’ former AI chief thinks he can cut AI’s power bill by 1,000x",https://techcrunch.com/2026/06/25/databricks-former-ai-chief-thinks-he-can-cut-ais-power-bill-by-1000x/,"Thu, 25 Jun 2026 16:48:11 +0000",False,No relevant keywords,Un-0 is an image-generation system tool that shows for the first time how the company's technology can replicate conventional AI systems.
TechCrunch AI,Netris raises $15M Series A from a16z to help AI neoclouds go live faster,https://techcrunch.com/2026/06/25/netris-raises-15m-series-a-from-a16z-to-help-ai-neoclouds-go-live-faster/,"Thu, 25 Jun 2026 14:55:38 +0000",False,No relevant keywords,"Netris provides software that runs on network switches, and offers a platform that helps neocloud operators reduce the time it takes to go live."
TechCrunch AI,"2 days left to save up to $190: Join 1,000+ founders and investors at TechCrunch Founder Summit",https://techcrunch.com/2026/06/25/2-days-left-to-save-up-to-190-join-1000-founders-and-investors-at-techcrunch-founder-summit/,"Thu, 25 Jun 2026 14:00:00 +0000",False,No relevant keywords,Two days left to lock in your spot at TechCrunch Founder Summit 2026 and save up to $190 before Early Bird rates expire on June 26 at 11:59 p.m. PT. Register today.
TechCrunch AI,Adobe acquires image and video enhancement tool maker Topaz Labs,https://techcrunch.com/2026/06/25/adobe-acquires-image-and-video-enhancement-tool-maker-topaz-labs/,"Thu, 25 Jun 2026 13:30:00 +0000",False,No relevant keywords,Adobe said that it will integrate Topaz Labs' tools across its apps.
TechCrunch AI,Amazon ups India bet with fresh $13B AI infrastructure investment,https://techcrunch.com/2026/06/25/amazon-ups-india-bet-with-fresh-13b-ai-infrastructure-investment/,"Thu, 25 Jun 2026 12:00:38 +0000",False,No relevant keywords,Amazon’s latest India investment comes as global tech companies race to expand AI infrastructure in the country.
TechCrunch AI,Europe is pushing back on Washington’s chip war,https://techcrunch.com/2026/06/24/europe-is-pushing-back-on-washingtons-chip-war/,"Thu, 25 Jun 2026 00:08:36 +0000",False,No relevant keywords,"As ASML CEO Christophe Fouquet told TechCrunch in May, what China can currently buy are older-generation deep ultraviolet tools — gear first shipped about a decade ago — the same machines the MATCH Act would now put off-limits."
TechCrunch AI,Former Infosys chief has a new startup that wants to challenge the IT services world,https://techcrunch.com/2026/06/24/former-infosys-chief-has-a-new-startup-that-wants-to-challenge-the-it-services-world/,"Wed, 24 Jun 2026 23:26:52 +0000",False,No relevant keywords,"Backed by Mayfield and Aramco Ventures, Vishal Sikka’s new venture brings together veterans from SAP, Infosys, and VianAI."
