source,title,link,published,relevant,reason,summary
TechCrunch AI,"SpaceX has an AI device prototype, and it sure sounds phone-ish",https://techcrunch.com/2026/07/01/spacex-has-an-ai-device-prototype-and-it-sure-sounds-phone-ish/,"Wed, 01 Jul 2026 18:54:18 +0000",False,No relevant keywords,"SpaceX reportedly showed investors a ""handset-like"" AI device before going public. It could be another signal SpaceX wants to expand into wireless."
TechCrunch AI,Ashton Kutcher leaving Sound Ventures to launch new VC firm with Morgan Beller,https://techcrunch.com/2026/07/01/ashton-kutcher-leaving-sound-ventures-to-launch-new-vc-firm-with-morgan-beller/,"Wed, 01 Jul 2026 18:47:22 +0000",False,No relevant keywords,"Sound built its reputation on concentrated, high-conviction bets in category-leading AI labs, while Kutcher's new fund appears to be chasing the layer underneath those companies — the infrastructure and energy that power them."
TechCrunch AI,Cloudflare’s new policy pushes AI companies to pay for publishers’ content,https://techcrunch.com/2026/07/01/cloudflares-new-policy-pushes-ai-companies-to-pay-for-publishers-content/,"Wed, 01 Jul 2026 17:48:37 +0000",False,No relevant keywords,"Cloudflare is giving AI companies until September 15 to separate web crawlers used for search from those used for AI training and agents, or risk being blocked by default on many publisher sites."
TechCrunch AI,Venice AI becomes a unicorn with $65M Series A as its privacy-first AI platform takes off,https://techcrunch.com/2026/07/01/venice-ai-becomes-a-unicorn-with-65m-series-a-as-its-privacy-first-ai-platform-takes-off/,"Wed, 01 Jul 2026 14:25:23 +0000",False,No relevant keywords,"Venice AI is already profitable, with annualized run-rate revenues of over $70 million, CEO Erik Voorhees said."
TechCrunch AI,"Gemini Spark, Google’s agentic assistant, is now available on Mac",https://techcrunch.com/2026/07/01/gemini-spark-googles-agentic-assistant-is-now-available-on-mac/,"Wed, 01 Jul 2026 14:20:19 +0000",False,No relevant keywords,"Google's 24/7 agentic assistant, Gemini Spark, comes to Mac alongside other improvements, like real-time tracking and support for more apps."
TechCrunch AI,Builders Stage agenda revealed: Practical strategies for scaling startups at TechCrunch Disrupt 2026,https://techcrunch.com/2026/07/01/builders-stage-agenda-revealed-practical-strategies-for-scaling-startups-at-techcrunch-disrupt-2026/,"Wed, 01 Jul 2026 14:00:00 +0000",False,No relevant keywords,"The Builders Stage is returning to TechCrunch Disrupt 2026, bringing together 10,000+ founders, startup operators, and investors for practical conversations. and Q&#038;A on what it takes to build and scale successful companies. Register now to save up to $330."
TechCrunch AI,"Meta, like SpaceX, looks to turn excess AI compute into cash",https://techcrunch.com/2026/07/01/meta-like-spacex-looks-to-turn-excess-ai-compute-into-cash/,"Wed, 01 Jul 2026 13:43:07 +0000",False,No relevant keywords,"Meta is developing plans for a cloud infrastructure business, selling access to AI compute power and models. The move would pit it against the big cloud providers like Amazon Web Services, Google Cloud, and Microsoft Azure."
TechCrunch AI,The ‘Father of the Internet’ is finally retiring,https://techcrunch.com/2026/06/30/the-father-of-the-internet-is-finally-retiring/,"Wed, 01 Jul 2026 03:15:37 +0000",False,No relevant keywords,"Vinton Cerf, one of the creators of the protocols underlying the internet, will step down as Google's chief internet evangelist next week."
TechCrunch AI,Trump drops restrictions on Anthropic’s Mythos and Fable models,https://techcrunch.com/2026/06/30/trump-drops-restrictions-on-anthropics-mythos-and-fable-models/,"Wed, 01 Jul 2026 02:16:06 +0000",False,No relevant keywords,The Trump administration's erratic approach to AI policymaking has left companies across the industry with little clarity about what will govern future model releases.
TechCrunch AI,Wayve launches $85M employee tender offer at $8.5B valuation,https://techcrunch.com/2026/06/30/wayve-launches-85m-employee-tender-offer-at-8-5b-valuation/,"Wed, 01 Jul 2026 02:04:40 +0000",False,No relevant keywords,Wayve’s offering is part of a growing trend of AI startups using employee tenders as a strategic tool to attract and retain talent.
